"date","year","sla_code","minave","maxave","solarave","vprph09","vprph15"
"1",1995-01-01,1995,805107569,13,31.6700000762939,33.8400001525879,16.2700004577637,8.14000034332275
"2",1995-01-02,1995,805107569,14.4799995422363,17.1200008392334,3.15000009536743,11.6400003433228,10.8599996566772
"3",1995-01-03,1995,805107569,11.5600004196167,19.4200000762939,9.35999965667725,10.9399995803833,12.5500001907349
"4",1995-01-04,1995,805107569,13.9899997711182,27.9799995422363,15.3999996185303,17.3999996185303,17.3700008392334
"5",1995-01-05,1995,805107569,17.2999992370605,25.0599994659424,11.8199996948242,19.7700004577637,18.2399997711182
"6",1995-01-06,1995,805107569,16.3400001525879,22.8500003814697,9.59000015258789,18.2700004577637,18.3400001525879
"7",1995-01-07,1995,805107569,12.2600002288818,22.7399997711182,27.3400001525879,12.4099998474121,12.4799995422363
"8",1995-01-08,1995,805107569,12.9200000762939,21.8299999237061,21.9899997711182,12.9399995803833,13.039999961853
"9",1995-01-09,1995,805107569,11.5699996948242,25.7099990844727,NA,12.4200000762939,11.1700000762939
"10",1995-01-10,1995,805107569,13.3900003433228,28.2399997711182,NA,13.8800001144409,11.5500001907349
"11",1995-01-11,1995,805107569,13.8400001525879,29,26.7399997711182,15.539999961853,14.25
"12",1995-01-12,1995,805107569,14.1000003814697,32.2900009155273,30.2299995422363,17.8199996948242,12.3900003433228
"13",1995-01-13,1995,805107569,15.0799999237061,32.2799987792969,30.4699993133545,16.0300006866455,13.2700004577637
"14",1995-01-14,1995,805107569,13.6499996185303,31.6100006103516,29.1599998474121,15.3999996185303,11.539999961853
"15",1995-01-15,1995,805107569,16.6700000762939,29.4500007629395,15.210000038147,17.4300003051758,13.2200002670288
"16",1995-01-16,1995,805107569,17.5599994659424,32.4799995422363,24.4400005340576,18.9099998474121,14.7200002670288
"17",1995-01-17,1995,805107569,16.2600002288818,22.6100006103516,NA,17.6100006103516,19.75
"18",1995-01-18,1995,805107569,16.8400001525879,28.1299991607666,18.0900001525879,19.0599994659424,18.3899993896484
"19",1995-01-19,1995,805107569,17.6499996185303,20.7800006866455,5.3899998664856,17.5,17.8600006103516
"20",1995-01-20,1995,805107569,16.4500007629395,18.8099994659424,NA,17.8899993896484,18.3500003814697
"21",1995-01-21,1995,805107569,14.1599998474121,22.0100002288818,29.2700004577637,13.6999998092651,11.9799995422363
"22",1995-01-22,1995,805107569,7.03999996185303,19.8099994659424,26.0599994659424,7.09000015258789,10
"23",1995-01-23,1995,805107569,10.8100004196167,21.25,NA,10.1700000762939,11.039999961853
"24",1995-01-24,1995,805107569,9.22999954223633,27.1000003814697,30.1900005340576,12.3400001525879,12.4899997711182
"25",1995-01-25,1995,805107569,11.0200004577637,27.1399993896484,24.3799991607666,13.9799995422363,13.710000038147
"26",1995-01-26,1995,805107569,13.6099996566772,22.1700000762939,15.0500001907349,13.3599996566772,13.9399995803833
"27",1995-01-27,1995,805107569,14.4499998092651,25.0300006866455,NA,14.4499998092651,15.5600004196167
"28",1995-01-28,1995,805107569,15.4499998092651,20.2199993133545,2.69000005722046,17.1800003051758,19.0599994659424
"29",1995-01-29,1995,805107569,12.0799999237061,25.5300006866455,29.8799991607666,16.3700008392334,15.9200000762939
"30",1995-01-30,1995,805107569,11.960000038147,27.0400009155273,26.4300003051758,16.1200008392334,13.4099998474121
"31",1995-01-31,1995,805107569,15.5100002288818,25.1200008392334,28.7399997711182,13.8400001525879,12.4300003051758
"32",1995-02-01,1995,805107569,11.789999961853,22.1599998474121,24.2999992370605,11.8400001525879,13.0900001525879
"33",1995-02-02,1995,805107569,9.61999988555908,26.6900005340576,30.5900001525879,13.960000038147,13.4700002670288
"34",1995-02-03,1995,805107569,14.710000038147,29.3500003814697,26.6299991607666,14.7200002670288,12.5699996948242
"35",1995-02-04,1995,805107569,11.2299995422363,26.9200000762939,30.5799999237061,12.2700004577637,10.1999998092651
"36",1995-02-05,1995,805107569,10.5600004196167,30.1200008392334,25.7199993133545,15.6099996566772,16.7299995422363
"37",1995-02-06,1995,805107569,12.210000038147,20.7800006866455,30.9300003051758,10.460000038147,6.80999994277954
"38",1995-02-07,1995,805107569,9.11999988555908,24.3500003814697,29.3500003814697,11.8400001525879,11.3999996185303
"39",1995-02-08,1995,805107569,9.93000030517578,25.9699993133545,29.9099998474121,13.5500001907349,12.2799997329712
"40",1995-02-09,1995,805107569,12.289999961853,26.2800006866455,28.3500003814697,14.9499998092651,11.960000038147
"41",1995-02-10,1995,805107569,14.539999961853,24.4099998474121,22.8199996948242,14.5900001525879,14.6899995803833
"42",1995-02-11,1995,805107569,13.9399995803833,25.9699993133545,24.8199996948242,15.7399997711182,14.6099996566772
"43",1995-02-12,1995,805107569,12.3500003814697,27.3899993896484,26.4899997711182,14.4399995803833,13.5600004196167
"44",1995-02-13,1995,805107569,11.1400003433228,26.2700004577637,24.1100006103516,15.1599998474121,13.8900003433228
"45",1995-02-14,1995,805107569,11.9300003051758,25.4500007629395,22.3299999237061,14.8500003814697,13.8100004196167
"46",1995-02-15,1995,805107569,13.8000001907349,25.9799995422363,22,15.3500003814697,13.1199998855591
"47",1995-02-16,1995,805107569,15.3900003433228,24.9099998474121,14.2399997711182,17.1800003051758,16.8299999237061
"48",1995-02-17,1995,805107569,14.6000003814697,24.1200008392334,21.6299991607666,17.0100002288818,16.2900009155273
"49",1995-02-18,1995,805107569,11.6499996185303,28.1000003814697,28.2999992370605,14.710000038147,13.75
"50",1995-02-19,1995,805107569,13.1199998855591,26.9300003051758,28.0599994659424,13.7399997711182,12.210000038147
"51",1995-02-20,1995,805107569,10.1499996185303,21.3999996185303,NA,12.1499996185303,12.9799995422363
